uri,prefLabel,prefLabel_en,casNumber,ecNumber,altLabel,altLabel_en,comment,definition,broader,broadMatch,collections,exactMatch,narrowMatch,notation,pubchem,source,theme,topConceptOf,inScheme,belongsTo,validatiestatus
aromatengroterdanec16totec21,Aromaten groter dan EC16 tot EC21,,,,,,,,,,,,,AromatengroterdanEC16totEC21,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
aromatengroterdanec21totec35,Aromaten groter dan EC21 tot EC35,,,,,,,,,,,,,AromatengroterdanEC21totEC35,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
aromatengroterdanec6totec8,Aromaten groter dan EC6 tot EC8,,,,,,,,,,,,,AromatengroterdanEC6totEC8,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
aromatengroteredanec8totec10,Aromaten grotere dan EC8 tot EC10,,,,,,,,,,,,,AromatengroteredanEC8totEC10,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
arseentrioxideenarseenpentoxide_as,"arseentrioxide en arseenpentoxide, uitgedrukt in As",,,,,,,,,,collectie:water,,,arseentrioxideenarseenpentoxide_As,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
as,Alkylsulfaten,,,,,,,,,,collectie:water,,,AS,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
as_co_ni_cd_se_cr.vi,som As + Co +Ni +Cd +Se + Cr(VI),,,,,,,,,,collectie:water,,,As+Co+Ni+Cd+Se+Cr(VI),,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
as_co_ni_cd_se_cr.vi_sb_pb_cr.iii_cu_mn_v_sn,som As+Co+Ni+Cd+Se+Cr(VI)+Sb+Pb+Cr(III)+Cu+Mn+V+Sn,,,,,,,,,,collectie:water,,,As+Co+Ni+Cd+Se+Cr(VI)+Sb+Pb+Cr(III)+Cu+Mn+V+Sn,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
asbest,Asbest,,,,,,,,,,collectie:water,,,Asbest,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
ash3_sbh3,Som van AsH3 en SbH3,,,,,,,,,,collectie:water,,,AsH3+SbH3,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
